tract,City,Community_Name,Detailed_Name,call_counts,crime_counts,shelter_counts,Land.Area,lat,long,Shape.Area,Shape.Length,totUnshelt2017,totShelt2017,totHomeless2017,totUnshelt2016,totShelt2016,totHomeless2016
272301,Los Angeles,Mar Vista,Mar Vista NC,0,0,0,0.23,34.0050155,-118.4222404,5.89468E-05,0.038484042,4.19,0,4.19,2,0,2
272302,Los Angeles,Mar Vista,Mar Vista NC,3,0,0,0.2,34.0021096,-118.4274418,4.92943E-05,0.032062118,1.926,0,1.926,1,0,1
273100,Los Angeles,Venice,Venice NC,12,1,1,0.45,34.0034867,-118.4597985,0.000114736,0.047625336,53.964,0,53.964,68,0,68
273200,Los Angeles,Venice,Venice NC,9,0,0,0.25,33.9975862,-118.4669749,6.26394E-05,0.034704837,110.094,36,146.094,77,18,95
273300,Los Angeles,Venice,Venice NC,2,1,2,0.22,33.9955518,-118.4722036,5.5805E-05,0.034207599,232.108,21,253.108,128,0,128
273402,Los Angeles,Venice,Venice NC,1,1,0,0.24,33.991782,-118.4792291,5.99923E-05,0.034868859,202.621,0,202.621,178,0,178
273502,Los Angeles,Venice,Venice NC,5,1,0,0.23,33.9867153,-118.472226,5.86668E-05,0.034036084,121.93,0,121.93,116,0,116
273600,Los Angeles,Venice,Venice NC,0,0,0,0.23,33.9933608,-118.4599433,5.74385E-05,0.033233743,71.881,0,71.881,32,0,32
273700,Los Angeles,Venice,Venice NC,0,0,0,0.27,33.9983793,-118.4526783,6.73669E-05,0.033602534,8.379,0,8.379,20,0,20
273800,Los Angeles,Venice,Venice NC,2,0,0,0.29,33.9927102,-118.4512626,7.23647E-05,0.051685906,43.029,0,43.029,27,0,27
273902,Los Angeles,Venice,Venice NC,2,0,0,0.35,33.983199,-118.4661137,9.19472E-05,0.043801055,43.603,71,114.603,50,0,50
