Area.Name,Victim.Age,Victim.Sex,Victim.Descent,latitude,longitude,CRIME DESCRIPTION SHORT,GENERAL DESCRIPTION,Hour,Weekday,Month,DayPartition
NEWTON,32,M,B,34.0347,-118.2339,AGGRAVATED ASSAULT,ASSAULT,16,7,9,3
MISSION,35,F,W,34.3271,-118.4498,SEXUAL ASSAULT,SEXUAL ASSAULT,19,7,9,4
OLYMPIC,52,M,O,34.0669,-118.2892,SIMPLE ASSAULT,ASSAULT,1,7,9,1
VAN NUYS,45,F,W,34.1809,-118.4509,PETTY THEFT,THEFT,17,1,9,3
CENTRAL,30,M,B,34.0395,-118.2527,AGGRAVATED ASSAULT,ASSAULT,17,1,9,3
CENTRAL,54,F,H,34.0435,-118.2471,PETTY THEFT,THEFT,21,1,9,4
VAN NUYS,26,M,W,34.2084,-118.4599,AGGRAVATED ASSAULT,ASSAULT,3,1,9,1
NORTH HOLLYWOOD,63,M,B,34.1591,-118.3774,PETTY THEFT,THEFT,6,1,9,2
OLYMPIC,42,M,B,34.0617,-118.3041,AGGRAVATED ASSAULT,ASSAULT,8,1,9,2
OLYMPIC,25,M,H,34.0612,-118.3091,ROBBERY,THEFT,18,1,9,4
CENTRAL,45,F,B,34.0417,-118.2443,ARSON,VANDALISM,11,2,9,3
CENTRAL,37,M,H,34.0445,-118.2523,AGGRAVATED ASSAULT,ASSAULT,13,2,9,3
NEWTON,25,F,H,34.0276,-118.2391,TRESPASSING,OTHER MISCELLANEOUS CRIME,12,2,9,3
MISSION,37,M,H,34.2741,-118.4484,AGGRAVATED ASSAULT,ASSAULT,4,2,9,2
MISSION,35,F,W,34.2741,-118.4484,AGGRAVATED ASSAULT,ASSAULT,4,2,9,2
CENTRAL,75,M,H,34.0442,-118.2439,AGGRAVATED ASSAULT,ASSAULT,1,3,9,1
CENTRAL,45,F,W,34.0428,-118.2461,SIMPLE ASSAULT,ASSAULT,15,3,9,3
CENTRAL,58,M,B,34.0449,-118.2458,OTHER THEFT,THEFT,21,3,9,4
CENTRAL,57,F,B,34.0439,-118.2479,AGGRAVATED ASSAULT,ASSAULT,16,3,9,3
VAN NUYS,63,F,W,34.1867,-118.4312,AGGRAVATED ASSAULT,ASSAULT,3,3,9,1
77TH STREET,26,F,B,33.9874,-118.2827,SIMPLE ASSAULT,ASSAULT,23,3,9,4
CENTRAL,35,M,B,34.0467,-118.252,PETTY THEFT,THEFT,14,4,9,3
CENTRAL,30,M,B,34.0428,-118.2461,ROBBERY,THEFT,17,4,9,3
CENTRAL,58,M,H,34.0488,-118.2518,PETTY THEFT,THEFT,3,4,9,1
CENTRAL,58,M,H,34.0448,-118.2474,ATTEMPTED ROBBERY,THEFT,6,5,9,2
CENTRAL,40,F,W,34.0428,-118.2461,SIMPLE ASSAULT,ASSAULT,8,5,9,2
CENTRAL,57,F,B,34.0439,-118.2399,PETTY THEFT,THEFT,5,5,9,2
CENTRAL,54,F,B,34.0403,-118.2421,ROBBERY,THEFT,9,5,9,2
NEWTON,42,M,B,33.9966,-118.2652,SIMPLE ASSAULT,ASSAULT,18,5,9,4
CENTRAL,30,F,B,34.0423,-118.2452,"RAPE, FORCIBLE",SEXUAL ASSAULT,6,6,9,2
RAMPART,25,F,B,34.0713,-118.2597,SIMPLE ASSAULT,ASSAULT,1,6,9,1
NEWTON,NA,F,H,33.9893,-118.2593,CHILD NEGLECT,CHILD ABUSE,14,6,9,3
PACIFIC,35,F,W,33.9547,-118.4413,SIMPLE ASSAULT,ASSAULT,11,6,9,3
NORTH HOLLYWOOD,28,M,W,34.1339,-118.3744,ROBBERY,THEFT,6,6,9,2
NORTH HOLLYWOOD,21,F,B,34.1867,-118.3965,SIMPLE ASSAULT,ASSAULT,19,6,9,4
NORTH HOLLYWOOD,24,M,B,34.1867,-118.3965,SIMPLE ASSAULT,ASSAULT,13,6,9,3
OLYMPIC,38,M,B,34.0608,-118.2842,AGGRAVATED ASSAULT,ASSAULT,17,6,9,3
CENTRAL,53,M,B,34.0387,-118.2335,SIMPLE ASSAULT,ASSAULT,2,7,9,1
CENTRAL,31,F,B,34.0454,-118.2422,SIMPLE ASSAULT,ASSAULT,16,7,9,3
CENTRAL,25,F,B,34.0437,-118.2455,SIMPLE ASSAULT,ASSAULT,21,7,9,4
CENTRAL,48,F,B,34.0421,-118.2405,PETTY THEFT,THEFT,14,7,9,3
RAMPART,62,M,A,34.0481,-118.2779,SIMPLE ASSAULT,ASSAULT,21,7,9,4
HOLLENBECK,24,F,H,34.0736,-118.1724,"RAPE, FORCIBLE",SEXUAL ASSAULT,14,7,9,3
WEST LA,60,M,B,34.0465,-118.4484,AGGRAVATED ASSAULT,ASSAULT,3,7,9,1
NORTHEAST,43,F,H,34.0786,-118.2615,OTHER ASSAULT,ASSAULT,20,7,9,4
PACIFIC,56,M,B,33.9905,-118.4478,AGGRAVATED ASSAULT,ASSAULT,13,7,9,3
CENTRAL,40,M,H,34.0435,-118.2427,AGGRAVATED ASSAULT,ASSAULT,20,1,9,4
CENTRAL,47,M,W,34.0428,-118.2461,AGGRAVATED ASSAULT,ASSAULT,22,1,9,4
HARBOR,50,F,H,33.7868,-118.2658,SIMPLE ASSAULT,ASSAULT,8,1,9,2
WEST VALLEY,34,M,O,34.2084,-118.5273,AGGRAVATED ASSAULT,ASSAULT,22,1,9,4
NORTHEAST,15,M,H,34.1235,-118.2685,ROBBERY,THEFT,4,1,9,2
77TH STREET,28,F,B,33.9688,-118.2739,SIMPLE ASSAULT,ASSAULT,17,1,9,3
CENTRAL,41,M,H,34.0321,-118.2599,AGGRAVATED ASSAULT,ASSAULT,21,2,9,4
